rule;support_2016Q1;support_2017Q1;support_2018Q1;support_2019Q1;support_2020Q1;support_2021Q1;support_2022Q1;support_2016Q2;support_2017Q2;support_2018Q2;support_2019Q2;support_2020Q2;support_2021Q2;support_2022Q2;support_2016Q3;support_2017Q3;support_2018Q3;support_2019Q3;support_2020Q3;support_2021Q3;support_2022Q3;support_2016Q4;support_2017Q4;support_2018Q4;support_2019Q4;support_2020Q4;support_2021Q4;support_2022Q4;lift_2016Q1;lift_2017Q1;lift_2018Q1;lift_2019Q1;lift_2020Q1;lift_2021Q1;lift_2022Q1;lift_2016Q2;lift_2017Q2;lift_2018Q2;lift_2019Q2;lift_2020Q2;lift_2021Q2;lift_2022Q2;lift_2016Q3;lift_2017Q3;lift_2018Q3;lift_2019Q3;lift_2020Q3;lift_2021Q3;lift_2022Q3;lift_2016Q4;lift_2017Q4;lift_2018Q4;lift_2019Q4;lift_2020Q4;lift_2021Q4;lift_2022Q4;disclosure;financial-reports;information-about-bank;annual-reports;covered-bonds;root-financial-indicators;information-for-shareholders;financial-statement;information-for-investors-except-shareholders
covered-bonds, root-financial-indicators, annual-reports:financial-reports;;0,000611933;;;;;;0,000440451;;;;;;;;;;;;;;;0,000181258;;;;;;;7,333582648;;;;;;11,70309278;;;;;;;;;;;;;;;11,76332623;;;;;;0;1;0;1;1;1;0;0;0
financial-reports, covered-bonds, information-about-bank, root-financial-indicators:information-for-shareholders;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;4,388657845;5,580535003;;;;;;6,67372134;;;;;;;;8,782165605;;;;;;9,923611111;10,7964775;;;;;;1;1;1;0;1;1;1;0;0
information-for-shareholders, annual-reports, root-financial-indicators:financial-reports, information-about-bank;;;;;0,000155513;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;77,78629032;;;;;;;;;;;;;;147,3535354;;;;;;;;;;1;1;1;1;0;1;1;0;0
covered-bonds, annual-reports:financial-reports, information-about-bank;0,008385022;0,008567058;0,006280459;0,006561906;;;;0,006871036;0,011320305;0,005739514;0,005609684;;;;;0,012039455;0,007571863;0,004544727;;;;0,010730114;0,009969186;0,007956879;0,001638124;;;;30,53709398;28,65064181;58,04003396;47,28870742;;;;47,17902813;41,93351567;54,52538789;59,04791398;;;;;28,79438406;45,07373596;66,61846847;;;;36,35730088;44,52784504;45,96227909;69,5891343;;;;1;1;1;1;1;0;0;0;0
information-for-shareholders, financial-statement:root-financial-indicators;;;;;;;;;0,000238322;;;;;;0,000321285;;;;;;;0,000349895;;;;;;;;;;;;;;;7,040268456;;;;;;6,939799331;;;;;;;6,555045872;;;;;;;1;0;0;0;0;1;1;1;0
annual-reports, financial-statement, root-financial-indicators:financial-reports;0,001263496;0,001019888;0,000137278;;;;;;0,000595806;;;;;;;;;;;;;0,000116632;0,000271887;;;;;;6,834326494;6,111318873;11,68441103;;;;;;9,808321646;;;;;;;;;;;;;8,608433735;11,76332623;;;;;;1;1;0;1;0;1;0;1;0
information-for-shareholders, annual-reports, financial-statement:financial-reports;0,000172295;;;;0,000103675;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;7,766280107;;;;15,2137224;;;;11,76998597;;;;;;;;;;;;;8,608433735;;;;;;;1;1;0;1;0;0;1;1;0
covered-bonds, information-about-bank:financial-reports, annual-reports;0,008385022;0,008567058;0,006280459;0,006561906;;;;0,006871036;0,011320305;0,005739514;0,005609684;;;;;0,012039455;0,007571863;0,004544727;;;;0,010730114;0,009969186;0,007956879;0,001638124;;;;30,23563834;28,19554277;54,53540746;47,83869565;;;;46,27173913;41,9865178;55,04529767;59,71483667;;;;;35,7268981;48,83051564;62,7161314;;;;40,46621864;52,31637931;42,71446356;67,64194139;;;;1;1;1;1;1;0;0;0;0
information-for-shareholders, financial-reports:annual-reports, information-about-bank;;;;;;;;;;;;;;;;;;;;0,000730588;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,770662422;;;;;;;;;1;1;1;1;0;0;1;0;0
information-for-shareholders, financial-reports:annual-reports;;;;;;;;;;;;;;;;;;;;0,000730588;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,005403232;;;;;;;;;0;1;0;1;0;0;1;0;0
